w_ch1;w_ch2;w_ch3
5,80E+00;9,46E+00;0.6408691
5,68E+00;9,46E+00;0.6408691
5,42E+00;4,73E+00;0.5950928
5,23E+01;7,63E+00;0.5950928
5,40E+01;4,58E+00;0.6866455
5,29E-01;8,54E+00;0.5950928
5,36E+01;5,80E-01;0.5950928
5,17E+00;8,85E+00;0.5950928
5,08E+01;1,14E+01;0.5493164
5,07E+01;1,71E+01;0.579834
4,91E+00;2,87E+01;0.6561279
4,99E+01;3,77E+01;0.7324219
5,02E+01;4,27E+01;0.50354
4,49E+01;4,55E+01;0.4577637
4,43E+01;4,27E+01;0.5645752
4,62E+01;4,10E+01;0.7476807
4,32E+01;3,59E+01;0.6408691
4,52E+01;2,47E+01;0.6103516
4,32E+01;2,09E+01;0.579834
4,56E+01;2,26E+01;0.5493164
4,03E+00;2,11E+01;0.5493164
4,56E+01;2,01E+00;0.6103516
4,15E+01;1,89E+00;0.5340576
4,09E+01;2,03E+01;0.5645752
3,86E+01;1,40E+01;0.579834
4,03E+00;1,40E+01;0.50354
4,59E+01;1,37E+01;0.5645752
4,36E+01;9,16E+00;0.579834
4,20E+01;7,93E-01;0.50354
3,71E+01;4,88E+00;0.4577637
4,07E+01;1,98E+00;0.6866455
3,81E+01;-3,81E+00;0.5645752
3,62E+01;-4,27E+00;0.5493164
3,94E+01;-1,04E+01;0.579834
3,97E+01;-1,27E+01;0.5645752
3,52E+00;-1,53E+01;0.5187988
3,46E+01;-1,48E+01;0.5950928
3,36E+01;-2,04E+01;0.6408691
3,68E+01;-2,00E+01;0.5645752
3,97E+01;-9,77E+00;0.6408691
3,54E+01;-4,43E+00;0.4882812
3,40E+00;-1,53E+00;0.6103516
3,16E+01;-2,75E+00;0.7171631
3,23E+01;-1,53E+00;0.6256104
2,72E+01;-1,53E-01;0.3967285
2,53E+01;4,12E+00;0.6103516
3,28E+00;2,75E+00;0.3967285
4,10E+01;6,41E+00;0.579834
3,10E+01;3,66E+00;0.5645752
